iter	RMSE
0	6439.439971
1	6251.71785
2	6092.190725
3	5959.658282
4	5846.346194
5	5749.104309
6	5672.241251
7	5603.049668
8	5540.635546
9	5490.258988
10	5448.010503
11	5413.658758
12	5383.231246
13	5355.293103
14	5325.0535
15	5301.814301
16	5282.892758
17	5267.712229
18	5248.401753
19	5236.196193
20	5226.458865
21	5212.66229
22	5204.93844
23	5191.007236
24	5185.174112
25	5179.145476
26	5174.353291
27	5169.257359
28	5164.542627
29	5160.735779
30	5157.198257
31	5153.672959
32	5151.349018
33	5141.338456
34	5139.711797
35	5134.506375
36	5131.22424
37	5129.595388
38	5126.928739
39	5125.96141
40	5125.044966
41	5124.126006
42	5122.240473
43	5121.617551
44	5121.140769
45	5120.874779
46	5120.39238
47	5119.864331
48	5117.708673
49	5115.851878
50	5115.432639
51	5114.008313
52	5113.80711
53	5113.610192
54	5112.959357
55	5112.834455
56	5112.760201
57	5111.271643
58	5104.926891
59	5104.787953
60	5104.704526
61	5103.502597
62	5103.443327
63	5103.306144
64	5100.953796
65	5100.850584
66	5099.700467
67	5099.592
68	5091.379172
69	5088.366532
70	5088.247397
71	5068.256184
72	5067.726637
73	5067.423553
74	5050.382049
75	5050.322306
76	5049.483118
77	5042.689645
78	5037.315209
79	5037.206462
80	5033.042392
81	5032.984414
82	5032.939336
83	5010.72608
84	5010.669991
85	4996.270553
86	4993.581846
87	4991.663419
88	4979.040374
89	4978.404243
90	4975.093512
91	4971.073773
92	4966.793786
93	4960.495501
94	4949.603456
95	4931.623836
96	4925.465143
97	4921.975538
98	4921.946655
99	4906.503936
100	4903.244918
101	4901.653425
102	4899.937636
103	4899.91615
104	4890.437119
105	4887.849026
106	4880.714079
107	4878.094821
108	4874.730364
109	4866.801946
110	4864.359904
111	4862.57479
112	4862.357164
113	4849.882381
114	4842.829833
115	4839.450997
116	4838.165806
117	4835.776946
118	4829.764257
119	4826.650443
120	4826.629071
121	4815.950629
122	4814.40434
123	4805.040378
124	4797.024274
125	4793.390105
126	4786.159782
127	4782.806192
128	4779.451255
129	4777.922353
130	4770.990941
131	4766.436464
132	4759.811892
133	4756.607279
134	4750.588712
135	4745.563736
136	4739.733659
137	4735.333477
138	4730.244433
139	4724.71401
140	4721.601499
141	4716.441299
142	4711.126576
143	4706.062205
144	4700.821328
145	4695.849696
146	4690.682718
147	4685.801007
148	4680.707932
149	4675.913554
150	4670.894315
151	4666.184877
152	4661.239328
153	4656.612613
154	4651.740525
155	4647.194464
156	4642.395529
157	4639.683689
158	4634.82694
159	4630.441132
160	4625.716573
161	4621.355952
162	4616.753857
163	4612.424333
164	4607.936261
165	4603.642827
166	4599.261434
167	4595.008282
168	4590.727151
169	4586.517781
170	4584.071865
171	4579.527776
172	4574.402657
173	4570.851344
174	4565.894823
175	4565.86673
176	4561.951363
177	4558.604751
178	4558.172343
179	4555.274772
180	4551.929809
181	4549.128342
182	4543.815989
183	4541.772319
184	4538.316969
185	4533.562978
186	4530.083287
187	4525.471298
188	4521.977823
189	4517.494157
190	4514.727559
191	4509.6703
