iter	Passed	Remaining
0	159	79822
1	177	44267
2	196	32540
3	210	26040
4	223	22162
5	237	19587
6	250	17663
7	263	16223
8	277	15144
9	290	14240
10	309	13760
11	326	13267
12	339	12722
13	355	12355
14	369	11931
15	383	11608
16	395	11249
17	406	10886
18	419	10622
19	434	10430
20	448	10220
21	461	10024
22	472	9797
23	484	9606
24	498	9462
25	514	9385
26	528	9264
27	542	9146
28	559	9086
29	573	8987
30	585	8851
31	598	8759
32	612	8667
33	625	8570
34	637	8472
35	651	8400
36	668	8366
37	685	8333
38	697	8249
39	710	8176
40	722	8084
41	741	8081
42	754	8015
43	767	7957
44	782	7909
45	796	7859
46	808	7794
47	820	7723
48	834	7682
49	848	7632
50	863	7600
51	876	7555
52	891	7519
53	909	7509
54	931	7532
55	951	7547
56	967	7518
57	985	7506
58	999	7473
59	1014	7437
60	1027	7393
61	1040	7351
62	1055	7321
63	1072	7306
64	1090	7299
65	1114	7325
66	1129	7297
67	1143	7262
68	1154	7214
69	1167	7174
70	1182	7146
71	1196	7114
72	1208	7071
73	1220	7023
74	1232	6982
75	1248	6966
76	1264	6947
77	1280	6930
78	1297	6912
79	1313	6893
80	1335	6909
81	1351	6888
82	1367	6871
83	1384	6854
84	1401	6844
85	1418	6829
86	1433	6806
87	1455	6813
88	1470	6792
89	1485	6767
90	1500	6746
91	1517	6730
92	1531	6701
93	1544	6669
94	1555	6632
95	1568	6599
96	1581	6571
97	1595	6545
98	1609	6519
99	1622	6491
100	1633	6454
101	1652	6448
102	1665	6418
103	1678	6391
104	1693	6372
105	1708	6350
106	1722	6325
107	1739	6315
108	1754	6293
109	1770	6276
110	1783	6250
111	1795	6218
112	1808	6192
113	1823	6173
114	1837	6150
115	1850	6126
116	1865	6107
117	1878	6082
118	1893	6062
119	1909	6047
120	1922	6023
121	1935	5995
122	1949	5976
123	1963	5953
124	1976	5928
125	1989	5904
126	2005	5889
127	2015	5858
128	2028	5834
129	2040	5808
130	2054	5786
131	2067	5762
132	2079	5737
133	2090	5710
134	2105	5693
135	2119	5672
136	2132	5650
137	2143	5623
138	2157	5603
139	2171	5583
140	2185	5564
141	2198	5542
142	2210	5518
143	2220	5489
144	2232	5465
145	2244	5442
146	2255	5415
147	2268	5396
148	2283	5378
149	2295	5357
150	2309	5337
151	2323	5319
152	2335	5297
153	2347	5274
154	2362	5259
155	2375	5237
156	2388	5217
157	2397	5190
158	2410	5168
159	2422	5148
160	2434	5125
161	2443	5099
162	2455	5076
163	2466	5053
164	2480	5036
165	2491	5013
166	2504	4993
167	2516	4973
168	2530	4956
169	2542	4935
170	2552	4911
171	2564	4889
172	2575	4867
173	2586	4846
174	2599	4827
175	2611	4807
176	2623	4787
177	2632	4762
178	2644	4743
179	2656	4722
180	2666	4699
181	2679	4682
182	2692	4664
183	2704	4645
184	2715	4623
185	2729	4607
186	2741	4588
187	2755	4573
188	2767	4554
189	2777	4531
190	2789	4512
191	2801	4494
192	2816	4480
193	2830	4464
194	2845	4449
195	2864	4442
196	2878	4426
197	2894	4414
198	2904	4393
199	2917	4376
200	2930	4359
201	2943	4342
202	2952	4320
203	2964	4301
204	2975	4282
205	2984	4259
206	2996	4241
207	3008	4223
208	3019	4203
209	3029	4183
210	3040	4164
211	3056	4151
212	3067	4133
213	3079	4115
214	3090	4097
215	3104	4082
216	3117	4065
217	3127	4046
218	3139	4028
219	3153	4013
220	3166	3997
221	3178	3980
222	3187	3959
223	3199	3941
224	3211	3924
225	3221	3905
226	3232	3887
227	3244	3870
228	3254	3851
229	3265	3833
230	3276	3815
231	3286	3796
232	3297	3778
233	3309	3762
234	3320	3744
235	3337	3733
236	3348	3716
237	3360	3698
238	3371	3682
239	3382	3663
240	3394	3647
241	3406	3631
242	3417	3614
243	3426	3595
244	3440	3581
245	3452	3564
246	3465	3549
247	3476	3532
248	3489	3517
249	3501	3501
250	3515	3487
251	3525	3469
252	3537	3453
253	3548	3436
254	3558	3418
255	3568	3401
256	3580	3385
257	3590	3367
258	3600	3349
259	3612	3334
260	3625	3319
261	3635	3302
262	3646	3286
263	3658	3270
264	3670	3255
265	3680	3237
266	3695	3224
267	3708	3209
268	3721	3195
269	3734	3181
270	3744	3164
271	3756	3148
272	3768	3133
273	3777	3115
274	3791	3101
275	3803	3086
276	3818	3073
277	3828	3057
278	3838	3040
279	3850	3025
280	3862	3010
281	3872	2993
282	3884	2978
283	3897	2964
284	3910	2950
285	3921	2934
286	3932	2918
287	3944	2903
288	3956	2888
289	3966	2871
290	3977	2856
291	3987	2840
292	3998	2824
293	4011	2810
294	4023	2796
295	4035	2780
296	4045	2765
297	4058	2751
298	4071	2737
299	4084	2722
300	4095	2707
301	4106	2692
302	4117	2677
303	4128	2661
304	4139	2646
305	4150	2631
306	4161	2616
307	4171	2600
308	4182	2585
309	4194	2570
310	4205	2555
311	4216	2540
312	4228	2526
313	4241	2512
314	4253	2497
315	4266	2484
316	4278	2470
317	4290	2455
318	4303	2442
319	4315	2427
320	4327	2413
321	4339	2398
322	4348	2382
323	4360	2368
324	4373	2354
325	4384	2340
326	4395	2325
327	4408	2311
328	4419	2297
329	4431	2282
330	4441	2267
331	4454	2254
332	4466	2240
333	4482	2227
334	4493	2213
335	4504	2198
336	4516	2184
337	4528	2170
338	4539	2155
339	4551	2141
340	4562	2127
341	4572	2112
342	4583	2098
343	4595	2083
344	4607	2069
345	4617	2055
346	4629	2041
347	4641	2027
348	4655	2014
349	4665	1999
350	4677	1985
351	4689	1971
352	4697	1956
353	4709	1942
354	4720	1928
355	4729	1913
356	4741	1899
357	4754	1885
358	4766	1872
359	4776	1857
360	4787	1843
361	4799	1829
362	4810	1815
363	4821	1801
364	4832	1787
365	4845	1774
366	4856	1760
367	4870	1746
368	4885	1734
369	4897	1720
370	4908	1706
371	4918	1692
372	4930	1678
373	4942	1665
374	4954	1651
375	4964	1637
376	4976	1623
377	4988	1609
378	4998	1595
379	5011	1582
380	5026	1569
381	5040	1557
382	5054	1543
383	5063	1529
384	5073	1515
385	5084	1501
386	5094	1487
387	5106	1474
388	5117	1460
389	5126	1445
390	5139	1432
391	5151	1419
392	5163	1405
393	5173	1391
394	5185	1378
395	5198	1365
396	5210	1351
397	5220	1337
398	5233	1324
399	5244	1311
400	5254	1297
401	5265	1283
402	5276	1270
403	5286	1256
404	5297	1242
405	5308	1229
406	5319	1215
407	5331	1202
408	5341	1188
409	5354	1175
410	5364	1161
411	5376	1148
412	5388	1135
413	5401	1121
414	5411	1108
415	5424	1095
416	5436	1081
417	5449	1069
418	5459	1055
419	5471	1042
420	5482	1028
421	5491	1015
422	5503	1001
423	5515	988
424	5527	975
425	5536	961
426	5547	948
427	5559	935
428	5570	922
429	5584	909
430	5596	895
431	5610	883
432	5622	869
433	5633	856
434	5647	843
435	5659	830
436	5670	817
437	5680	804
438	5693	791
439	5705	777
440	5718	765
441	5727	751
442	5755	740
443	5767	727
444	5776	713
445	5788	700
446	5800	687
447	5811	674
448	5823	661
449	5835	648
450	5845	635
451	5855	621
452	5865	608
453	5876	595
454	5886	582
455	5897	569
456	5912	556
457	5921	542
458	5932	529
459	5943	516
460	5954	503
461	5965	490
462	5978	477
463	5991	464
464	6004	451
465	6017	439
466	6030	426
467	6042	413
468	6053	400
469	6063	387
470	6073	373
471	6084	360
472	6094	347
473	6107	335
474	6119	322
475	6129	309
476	6141	296
477	6154	283
478	6166	270
479	6178	257
480	6189	244
481	6201	231
482	6212	218
483	6222	205
484	6237	192
485	6249	180
486	6260	167
487	6271	154
488	6283	141
489	6297	128
490	6309	115
491	6321	102
492	6332	89
493	6344	77
494	6356	64
495	6367	51
496	6379	38
497	6391	25
498	6402	12
499	6411	0
