iter	RMSE
0	69035.65215
1	68163.34416
2	67436.41014
3	67423.85657
4	67415.55591
5	66965.3968
6	66948.45998
7	66705.10926
8	65625.03768
9	65622.37558
10	65416.74283
11	65380.3943
12	65067.44927
13	65066.83237
14	64668.4201
15	64368.05498
16	64355.32524
17	64351.73185
18	64146.36814
19	63923.22747
20	63923.07364
21	63747.55424
22	63520.40807
23	63314.64179
24	63266.17893
25	63106.80966
26	62773.29802
27	62773.29791
28	62691.91833
29	62461.07385
30	62461.0738
31	62302.63259
32	62229.05554
33	62189.50048
34	62174.10017
35	62172.05987
36	62172.05067
37	61811.45333
38	61778.08916
39	61733.07249
40	61733.07248
41	61687.80926
42	61672.36532
43	61667.58572
44	60925.77953
45	60899.47907
46	60878.014
47	59538.85779
48	59538.52828
49	59538.27959
50	58764.34743
51	58709.22374
52	58646.04169
53	58611.71185
54	58611.7114
55	58596.56138
56	58588.10802
57	58542.98466
58	58494.36926
59	58464.3863
60	58039.73873
61	58015.58649
62	57906.38238
63	57885.74588
64	57880.28114
65	57719.74863
66	57719.28869
67	57622.78855
68	57543.29884
69	57488.14601
70	57443.75992
71	57321.85088
72	57320.05657
73	57318.19531
74	57313.88123
75	57313.00913
76	57312.5673
77	57312.34309
78	57113.91336
79	57068.43286
80	57068.30028
81	57068.22953
82	57027.08616
83	57002.8774
84	56988.66671
85	56988.03572
86	56987.95459
87	56987.90977
88	56929.86876
89	56921.44763
90	56915.24073
91	56906.36908
92	56616.58554
93	56497.54604
94	56467.69149
95	56467.68255
96	56392.80153
97	56279.1469
98	56279.13968
99	56279.13572
100	55860.93716
101	55860.91039
102	55857.07471
103	55856.88857
104	55841.52735
105	55778.96265
106	55763.05268
107	55762.94313
108	55762.87656
109	55762.83375
110	55672.6677
111	55520.29201
112	55477.07125
113	55435.83387
114	55433.94675
115	55208.31365
116	53703.67819
117	52405.92039
118	52394.13812
119	51869.91289
120	51839.12679
121	51599.96779
122	51163.16193
123	51132.27241
124	51128.7237
125	51121.27991
126	50762.50075
127	50742.05638
128	50471.93276
129	50469.86061
130	50464.38475
131	50463.18
132	50100.70421
133	49927.16859
134	49914.39095
135	49806.58821
136	49805.90625
137	49805.72084
138	48849.12416
139	48843.65951
140	48843.22561
141	48830.99247
142	48665.83053
143	48636.24114
144	48635.63987
145	48635.03139
146	48634.58282
147	48543.00634
148	48542.97429
149	48541.76248
150	48517.50344
151	48504.88947
152	48504.18097
153	48503.90455
154	48482.59893
155	48473.36458
156	48411.29707
157	48408.26802
158	48407.33045
159	48365.56636
160	48344.5247
161	48317.14112
162	48140.31425
163	48137.0225
164	48136.73273
165	47864.3398
166	47858.91274
167	47857.97309
168	47853.98996
169	47534.93463
170	47319.4785
171	47315.54859
172	47295.24521
173	47293.06209
174	47290.56401
175	47192.2182
176	47183.45773
177	47174.75391
178	47166.40456
179	47062.24065
180	47060.84839
181	46992.04625
182	46967.6191
183	46953.64344
184	46949.49533
185	46948.13781
186	46942.49554
187	46929.92425
188	46910.91003
189	46900.04577
190	46858.27652
191	46857.99059
192	46854.62509
193	46843.89148
194	46842.09928
195	46833.03627
196	46831.03143
197	46824.80829
198	46751.03946
199	46738.59327
200	46730.32644
201	46726.34695
202	46725.62553
203	46624.5262
204	46616.58789
205	46602.94739
206	46600.7557
207	46598.29737
208	46586.8824
209	46583.705
210	46583.35461
211	46583.27276
212	46583.27164
213	46578.48603
214	46576.30132
215	46387.57184
216	46361.59329
217	46353.81467
218	46345.85768
219	46344.22816
220	46343.42931
221	46280.45185
222	46279.99778
223	46236.21408
224	46234.56805
225	46233.37462
226	46180.95567
227	46180.71158
228	46180.71074
229	46156.42531
230	46156.22528
231	46150.42081
232	46144.05944
233	46141.66518
234	46139.90085
235	46136.86168
236	46136.42607
237	46136.37803
238	46063.77459
239	46063.65422
240	46023.7916
241	45951.65534
242	45130.57096
243	45129.342
244	45095.53596
245	45068.36078
246	45068.28096
247	45026.27888
248	44964.36577
249	44947.93216
250	44911.93881
251	44897.46082
252	44814.61279
253	44814.42353
254	44811.64664
255	44811.02576
256	44810.07747
257	44809.5305
258	44753.7478
259	44753.42115
260	44744.2197
261	44445.83559
262	44442.85825
263	44434.99878
264	44434.45172
265	44424.41057
266	44413.92708
267	44402.75608
268	44394.35657
269	44393.89855
270	44382.23832
271	44382.19778
272	44287.87501
273	44276.24576
274	44269.57557
275	44266.84283
276	44227.65194
277	44210.22511
278	44123.52498
279	44043.29028
280	43993.59366
281	43880.81531
282	43857.20751
283	43847.14853
284	43831.78659
285	43829.174
286	43821.36249
287	43721.04331
288	43720.58308
289	43713.78846
290	43691.78055
291	43680.84792
292	43680.82425
293	43660.84984
294	43660.45278
295	43652.92514
296	43642.98624
297	43638.79101
298	43634.36618
299	43631.628
300	43436.94681
301	43378.77422
302	43345.96478
303	43327.76954
304	43320.12704
305	43318.6529
306	43297.56896
307	43277.94681
308	43206.79508
309	43203.70152
310	43184.91751
311	43180.82038
312	43177.02403
313	43174.40103
314	43173.5142
315	43171.42463
316	43155.46498
317	43155.42828
318	43121.26913
319	43116.73737
320	43105.60638
321	43029.49046
322	43000.76639
323	42994.72056
324	42847.05309
325	42769.5204
326	42758.01886
327	42757.45023
328	42750.69477
329	42749.50077
330	42650.31653
331	42650.1298
332	42499.70739
333	42483.67795
334	42479.60506
335	42472.81796
336	42463.44534
337	42378.16348
338	42329.50508
339	42309.84371
340	42293.36923
341	42154.04872
342	42153.24409
343	41609.70586
344	41608.77608
345	41608.08215
346	41606.19141
347	41598.32164
348	41588.88301
349	41586.47062
350	41584.37183
351	41533.94602
352	41434.49207
353	41341.37799
354	41337.34906
355	41333.75003
356	41324.56631
357	41320.11728
358	41283.44725
359	41279.336
360	41254.82349
361	41250.82816
362	41219.43648
363	41131.1147
364	41126.6366
365	41124.98889
366	41049.46449
367	41042.54096
368	41040.76545
369	41037.45893
370	41036.52236
371	41029.80522
372	40967.47027
373	40967.33512
374	40964.40781
375	40945.56207
376	40938.88563
377	40932.71733
378	40911.80529
379	40908.34458
380	40907.15544
381	40884.09982
382	40883.71475
383	40874.67563
384	40843.99752
385	40842.92443
386	40842.91956
387	40803.45347
388	40798.64836
389	40792.4174
390	40777.06563
391	40775.58338
392	40727.00187
393	40724.67615
394	40718.76386
395	40685.20468
396	40610.03732
397	40590.14458
398	40586.64716
399	40584.41355
400	40581.38837
401	40580.22215
402	40580.22096
403	40547.54429
404	40541.37846
405	40538.56249
406	40466.5462
407	40464.83859
408	40458.20148
409	40434.42304
410	40433.22128
411	40426.52162
412	40412.45518
413	40411.13335
414	40399.60999
415	40399.34832
416	40328.04017
417	40121.70671
418	40115.62611
419	40112.03743
420	40110.88843
421	40086.06154
422	40078.6661
423	40073.3419
424	39381.70538
425	39313.2017
426	39311.26766
427	39309.08373
428	39307.64207
429	39306.66742
430	39301.29131
431	39301.1633
432	39299.2981
433	39293.10432
434	39290.31748
435	39284.00012
436	39239.74561
437	39239.64134
438	39235.62102
439	39223.84424
440	39204.68228
441	39197.58837
442	39170.65697
443	39167.83178
444	39164.70577
445	39157.16396
446	39154.59451
447	39154.51966
448	39119.19471
449	39114.71306
450	39113.59529
451	39113.51325
452	39113.22283
453	39113.1701
454	39112.26847
455	39111.47454
456	39106.92803
