iter	Passed	Remaining
0	1221	609549
1	2067	514923
2	2859	473738
3	3451	428016
4	4039	399938
5	4765	392384
6	5428	382334
7	5945	365667
8	6481	353577
9	6853	335821
10	7434	330492
11	8355	339802
12	8840	331165
13	9045	314000
14	9605	310588
15	10083	305028
16	10629	301995
17	11169	299105
18	11763	297797
19	12350	296409
20	12592	287225
21	13075	284096
22	13779	285780
23	14236	282359
24	14766	280566
25	15067	274685
26	15396	269727
27	15475	260877
28	16104	261555
29	16727	262058
30	16803	254215
31	17280	252733
32	17961	254178
33	18348	251487
34	18907	251197
35	19428	250407
36	19808	247869
37	20288	246660
38	20804	245924
39	21210	243916
40	21376	239311
41	21997	239882
42	22762	241915
43	23300	241479
44	23954	242202
45	24513	241936
46	25044	241386
47	25765	242627
48	26238	241498
49	26580	239220
50	27023	237912
51	27579	237604
52	28249	238252
53	28834	238150
54	29064	235160
55	29675	235283
56	30210	234795
57	30954	235892
58	31673	236747
59	32056	235083
60	32496	233866
61	33043	233432
62	33330	231193
63	33673	229402
64	34236	229123
65	34917	229610
66	35312	228215
67	35841	227697
68	36230	226307
69	36457	223956
70	36853	222676
71	37381	222214
72	37921	221812
73	38620	222327
74	39015	221085
75	39282	219152
76	39535	217186
77	39803	215345
78	40275	214633
79	40876	214603
80	41116	212688
81	41364	210858
82	42016	211094
83	42606	211002
84	42828	209105
85	43380	208833
86	43723	207562
87	43946	205747
88	44460	205319
89	44723	203742
90	45180	203065
91	45814	203177
92	46319	202709
93	46890	202527
94	47399	202071
95	47686	200681
96	47920	199092
97	48251	197930
98	48491	196415
99	48739	194959
100	49075	193872
101	49415	192817
102	49888	192289
103	50543	192453
104	51050	192047
105	51442	191209
106	51900	190625
107	52410	190231
108	52814	189452
109	53058	188117
110	53696	188178
111	54202	187774
112	54674	187248
113	55101	186570
114	55643	186283
115	56174	185955
116	56896	186251
117	57130	184946
118	57534	184208
119	58200	184300
120	58825	184254
121	59415	184091
122	59981	183846
123	60538	183567
124	61052	183156
125	61412	182287
126	61848	181649
127	62258	180939
128	62784	180566
129	63067	179499
130	63322	178365
131	63549	177168
132	64249	177290
133	64734	176811
134	65088	175980
135	65776	176049
136	66003	174885
137	66560	174601
138	67071	174192
139	67578	173774
140	67932	172962
141	68485	172661
142	68938	172104
143	69708	172335
144	70288	172085
145	70793	171650
146	71080	170689
147	71552	170179
148	71926	169437
149	72153	168358
150	72984	168685
151	73874	169133
152	74540	169056
153	74791	168038
154	75350	167715
155	75719	166971
156	76194	166462
157	76746	166123
158	77049	165243
159	77666	165041
160	78240	164743
161	78923	164668
162	79224	163796
163	79499	162876
164	79942	162306
165	80511	161992
166	81160	161834
167	81506	161071
168	82160	160917
169	82652	160443
170	83026	159740
171	83437	159113
172	83805	158406
173	84350	158035
174	84803	157492
175	85415	157241
176	86136	157186
177	86650	156748
178	87322	156595
179	87949	156354
180	88483	155945
181	89033	155563
182	89874	155683
183	90553	155514
184	91129	155166
185	91439	154365
186	91976	153949
187	92599	153674
188	93070	153148
189	93711	152897
190	94299	152558
191	94837	152134
192	95432	151802
193	95960	151360
194	96687	151229
195	97157	150693
196	97693	150259
197	98112	149646
198	98712	149309
199	99504	149256
200	100093	148895
201	100594	148402
202	101037	147823
203	101750	147637
204	102379	147326
205	103064	147092
206	103585	146620
207	104230	146324
208	104858	145998
209	105301	145416
210	105918	145073
211	106581	144789
212	106916	144060
213	107516	143689
214	108185	143408
215	108643	142846
216	109337	142592
217	110088	142408
218	110881	142272
219	111540	141960
220	112305	141779
221	113002	141507
222	113572	141074
223	114310	140847
224	114952	140496
225	115674	140242
226	116308	139877
227	117077	139671
228	117422	138958
229	118030	138557
230	118590	138099
231	119070	137546
232	119677	137141
233	120383	136846
234	120763	136180
235	121339	135736
236	121864	135233
237	122519	134874
238	123190	134530
239	123738	134050
240	124341	133628
241	124851	133105
242	125429	132655
243	125835	132024
244	126204	131355
245	126491	130604
246	127084	130172
247	127811	129872
248	128587	129620
249	129241	129241
250	129722	128688
251	130392	128322
252	131241	128128
253	131828	127676
254	132410	127217
255	132947	126715
256	133587	126310
257	133800	125503
258	134230	124902
259	134445	124103
260	134725	123369
261	135280	122888
262	135877	122444
263	136222	121774
264	136696	121221
265	137204	120699
266	137728	120189
267	138436	119840
268	139124	119471
269	139584	118905
270	140227	118495
271	140653	117900
272	141283	117477
273	142013	117135
274	142480	116574
275	143087	116128
276	143599	115605
277	144274	115212
278	144802	114700
279	145236	114114
280	145582	113460
281	146109	112950
282	146531	112358
283	147181	111940
284	147913	111583
285	148503	111118
286	149230	110752
287	149850	110306
288	150621	109969
289	151225	109507
290	151666	108928
291	152201	108417
292	152659	107851
293	153397	107482
294	154328	107245
295	155204	106965
296	155920	106571
297	156497	106082
298	156842	105436
299	157464	104976
300	157909	104398
301	158525	103933
302	159193	103501
303	159753	102999
304	160246	102452
305	160901	102009
306	161500	101529
307	161918	100936
308	162585	100497
309	162911	99848
310	163599	99422
311	164181	98929
312	164414	98228
313	164979	97726
314	165546	97225
315	166014	96666
316	166487	96111
317	167139	95658
318	167751	95182
319	168292	94664
320	169127	94310
321	169706	93812
322	170241	93290
323	170964	92869
324	171651	92427
325	172632	92141
326	173424	91750
327	174177	91336
328	174784	90845
329	175546	90432
330	176306	90017
331	177152	89643
332	177612	89073
333	178186	88559
334	178624	87979
335	178896	87318
336	179427	86785
337	180118	86329
338	180679	85809
339	181152	85248
340	181996	84860
341	182781	84443
342	183368	83932
343	184149	83509
344	184732	82995
345	185431	82532
346	186206	82102
347	186576	81492
348	187298	81037
349	187756	80466
350	188253	79913
351	188811	79386
352	189462	78898
353	190168	78430
354	190667	77878
355	191031	77271
356	191786	76822
357	192431	76327
358	192837	75738
359	193604	75290
360	194187	74770
361	194721	74230
362	195375	73736
363	196020	73238
364	196777	72780
365	197250	72217
366	197895	71716
367	198405	71167
368	199124	70692
369	199711	70168
370	200380	69674
371	200906	69129
372	201574	68632
373	202087	68082
374	202705	67568
375	203202	67013
376	203637	66438
377	204416	65975
378	205318	65550
379	205995	65051
380	206628	64537
381	207107	63975
382	207598	63417
383	208169	62884
384	208569	62299
385	209048	61739
386	209440	61154
387	209951	60604
388	210493	60063
389	211107	59543
390	211870	59063
391	212527	58553
392	213073	58012
393	213693	57491
394	214029	56893
395	214544	56345
396	215298	55858
397	215798	55305
398	216461	54793
399	217202	54300
400	217680	53741
401	218399	53241
402	218636	52624
403	219447	52145
404	219947	51592
405	220301	51005
406	221059	50512
407	221734	49999
408	222447	49493
409	223095	48972
410	223746	48451
411	224533	47958
412	225179	47434
413	225710	46886
414	226546	46400
415	227021	45840
416	227711	45323
417	227993	44725
418	228334	44140
419	228970	43613
420	229569	43078
421	230365	42579
422	231125	42072
423	231793	41547
424	232592	41045
425	233265	40520
426	233928	39992
427	234496	39448
428	235108	38910
429	235741	38376
430	236346	37837
431	237110	37322
432	237684	36778
433	238413	36256
434	238940	35703
435	239578	35167
436	240247	34635
437	240935	34104
438	241572	33566
439	242165	33022
440	242838	32488
441	243554	31959
442	244235	31425
443	244863	30883
444	245339	30322
445	245847	29766
446	246608	29239
447	247491	28726
448	248288	28201
449	248956	27661
450	249454	27102
451	249771	26524
452	250400	25979
453	250668	25398
454	251397	24863
455	252067	24322
456	252809	23787
457	253059	23206
